Date,Time,Area 6/Ecutec/PCC2/PCC2_p1160_ACT_V_OUT_ABS,Area 6/Ecutec/PCC2/PCC2_p3021_SPD_DEV_VAL,Area 6/Ecutec/PCC2/PM608_AMPS_SUM
2022-06-06,17:44:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:45:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:46:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:47:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:48:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:49:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:50:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:51:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:52:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:53:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:54:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:55:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:56:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:57:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:58:00.000,6.760934047633782E-5,,0.0
2022-06-06,17:59:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:00:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:01:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:02:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:03:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:04:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:05:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:06:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:07:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:08:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:09:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:10:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:11:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:12:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:13:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:14:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:15:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:16:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:17:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:18:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:19:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:20:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:21:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:22:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:23:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:24:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:25:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:26:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:27:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:28:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:29:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:30:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:31:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:32:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:33:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:34:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:35:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:36:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:37:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:38:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:39:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:40:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:41:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:42:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:43:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:44:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:45:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:46:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:47:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:48:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:49:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:50:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:51:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:52:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:53:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:54:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:55:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:56:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:57:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:58:00.000,6.760934047633782E-5,,0.0
2022-06-06,18:59:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:00:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:01:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:02:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:03:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:04:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:05:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:06:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:07:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:08:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:09:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:10:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:11:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:12:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:13:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:14:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:15:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:16:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:17:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:18:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:19:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:20:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:21:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:22:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:23:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:24:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:25:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:26:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:27:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:28:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:29:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:30:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:31:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:32:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:33:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:34:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:35:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:36:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:37:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:38:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:39:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:40:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:41:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:42:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:43:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:44:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:45:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:46:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:47:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:48:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:49:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:50:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:51:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:52:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:53:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:54:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:55:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:56:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:57:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:58:00.000,6.760934047633782E-5,,0.0
2022-06-06,19:59:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:00:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:01:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:02:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:03:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:04:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:05:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:06:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:07:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:08:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:09:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:10:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:11:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:12:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:13:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:14:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:15:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:16:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:17:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:18:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:19:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:20:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:21:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:22:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:23:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:24:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:25:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:26:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:27:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:28:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:29:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:30:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:31:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:32:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:33:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:34:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:35:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:36:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:37:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:38:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:39:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:40:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:41:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:42:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:43:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:44:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:45:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:46:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:47:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:48:00.000,6.760934047633782E-5,,0.0
2022-06-06,20:49:00.000,6.760934047633782E-5,,0.0
